animal_type,has_name,age_days_outcome,age_group_intake,los_at_shelter,month_of_outcome,is_fixed,breed_type,color_group,intake_condition_group,agg_cluster
Dog,1,1009,Young Adult,8,February,1,Pure,White,Healthy/Normal,0
Dog,1,151,Puppy/Kitten,29,April,1,Mix,Tricolor,Healthy/Normal,0
Cat,1,29,Puppy/Kitten,1,April,0,Mix,Black,Healthy/Normal,0
Dog,0,3665,Senior,13,December,0,Mix,Grey,Injured,0
Dog,1,171,Puppy/Kitten,4,June,1,Pure,Black,Healthy/Normal,0
Cat,1,116,Puppy/Kitten,94,August,1,Mix,Brown,Life Stage/Developmental,0
Dog,1,5844,Senior,1,May,1,Mix,Red,Healthy/Normal,0
Dog,1,1891,Adult,4,April,1,Pure,Black,Healthy/Normal,0
Dog,0,81,Puppy/Kitten,5,January,1,Mix,White,Healthy/Normal,0
Dog,1,772,Young Adult,40,October,1,Mix,White,Healthy/Normal,0
Cat,1,317,Puppy/Kitten,314,December,1,Mix,Black,Healthy/Normal,0
Dog,1,363,Puppy/Kitten,211,January,1,Pure,Black,Injured,0
Dog,1,370,Young Adult,4,June,0,Mix,White,Healthy/Normal,0
Dog,1,191,Puppy/Kitten,6,February,1,Mix,Black,Healthy/Normal,0
Dog,1,1841,Adult,13,February,0,Mix,Black,Healthy/Normal,0
Dog,1,889,Young Adult,159,October,1,Pure,Brown,Healthy/Normal,0
Cat,1,1148,Adult,52,December,1,Mix,White,Healthy/Normal,0
Cat,1,26,Puppy/Kitten,3,August,0,Pure,White,Healthy/Normal,0
Other,0,735,Young Adult,4,November,0,Pure,Brown,Healthy/Normal,0
Cat,1,135,Puppy/Kitten,77,September,1,Pure,Black,Healthy/Normal,0
Dog,1,562,Young Adult,8,May,1,Mix,Gold,Healthy/Normal,0
Dog,1,1890,Adult,63,April,1,Pure,Black,Healthy/Normal,0
Dog,1,185,Puppy/Kitten,109,April,0,Pure,White,Healthy/Normal,0
Cat,1,1838,Adult,12,June,1,Mix,White,Healthy/Normal,0
Cat,0,26,Puppy/Kitten,19,September,0,Mix,Other,Healthy/Normal,0
Cat,0,747,Young Adult,17,January,1,Mix,White,Healthy/Normal,0
Cat,0,160,Puppy/Kitten,7,September,1,Mix,Black,Healthy/Normal,0
Dog,1,582,Young Adult,3,October,1,Mix,Black,Healthy/Normal,0
Cat,0,740,Young Adult,9,February,0,Pure,White,Healthy/Normal,0
Cat,1,95,Puppy/Kitten,4,August,0,Pure,White,Healthy/Normal,0
Cat,1,72,Puppy/Kitten,56,September,1,Mix,Red,Life Stage/Developmental,0
Dog,1,745,Young Adult,14,September,1,Mix,Brown,Healthy/Normal,0
Dog,1,5237,Senior,4,January,1,Pure,White,Healthy/Normal,0
Cat,1,54,Puppy/Kitten,4,July,0,Mix,Red,Healthy/Normal,0
Dog,0,66,Puppy/Kitten,43,February,1,Mix,Black,Sick/Medical,0
Cat,1,123,Puppy/Kitten,47,December,1,Pure,White,Healthy/Normal,0
Dog,0,7,Puppy/Kitten,2,April,0,Mix,Brown,Healthy/Normal,0
Dog,1,618,Young Adult,10,August,1,Pure,White,Healthy/Normal,0
Cat,1,372,Young Adult,6,February,1,Mix,White,Healthy/Normal,0
Cat,1,129,Puppy/Kitten,9,May,1,Pure,Black,Healthy/Normal,0
Dog,1,227,Puppy/Kitten,15,July,0,Mix,White,Healthy/Normal,0
Dog,1,129,Puppy/Kitten,7,October,1,Pure,White,Healthy/Normal,0
Cat,1,73,Puppy/Kitten,41,May,1,Mix,Black,Healthy/Normal,0
Dog,1,3729,Senior,76,December,1,Pure,Gold,Healthy/Normal,0
Cat,0,446,Young Adult,81,September,1,Mix,Black,Injured,0
Dog,1,734,Young Adult,3,April,1,Mix,White,Healthy/Normal,0
Cat,1,3306,Senior,18,January,1,Pure,Brown,Healthy/Normal,0
Dog,1,2857,Senior,1,June,1,Mix,Black,Healthy/Normal,0
Other,0,735,Young Adult,3,May,0,Pure,Black,Sick/Medical,0
Dog,0,76,Puppy/Kitten,8,May,1,Mix,Black,Healthy/Normal,0
Other,1,150,Puppy/Kitten,27,March,0,Pure,White,Healthy/Normal,0
Dog,1,742,Young Adult,10,December,1,Mix,White,Healthy/Normal,0
Dog,1,369,Young Adult,3,January,0,Mix,Black,Healthy/Normal,0
Dog,1,1838,Adult,7,November,1,Pure,White,Healthy/Normal,0
Dog,1,387,Young Adult,4,March,1,Pure,Black,Healthy/Normal,0
Dog,1,1192,Adult,95,September,1,Pure,White,Healthy/Normal,0
Cat,1,174,Puppy/Kitten,21,February,1,Pure,Brown,Healthy/Normal,0
Dog,0,735,Young Adult,4,October,1,Mix,White,Healthy/Normal,0
Cat,1,70,Puppy/Kitten,31,November,1,Pure,Brown,Healthy/Normal,0
Livestock,0,927,Young Adult,196,July,0,Pure,Black,Healthy/Normal,0
Cat,0,76,Puppy/Kitten,49,December,1,Pure,Brown,Healthy/Normal,0
Dog,1,160,Puppy/Kitten,8,March,1,Mix,Black,Healthy/Normal,0
Dog,1,69,Puppy/Kitten,23,March,1,Mix,White,Healthy/Normal,0
Dog,1,557,Young Adult,1,February,1,Pure,White,Healthy/Normal,0
Cat,1,62,Puppy/Kitten,16,July,0,Mix,White,Healthy/Normal,0
Dog,1,586,Young Adult,39,July,1,Mix,Brown,Sick/Medical,0
Other,0,369,Young Adult,3,December,0,Pure,Black,Sick/Medical,0
Cat,1,75,Puppy/Kitten,14,July,1,Pure,White,Healthy/Normal,0
Dog,1,376,Young Adult,10,August,1,Pure,White,Healthy/Normal,0
Dog,1,2486,Adult,9,October,1,Mix,Black,Healthy/Normal,0
Cat,1,49,Puppy/Kitten,4,July,0,Mix,White,Healthy/Normal,0
Dog,1,78,Puppy/Kitten,40,July,1,Pure,Black,Life Stage/Developmental,0
Cat,0,56,Puppy/Kitten,3,June,0,Pure,Red,Healthy/Normal,0
Dog,1,753,Young Adult,23,April,0,Mix,White,Healthy/Normal,0
Cat,1,460,Young Adult,28,July,1,Mix,Black,Healthy/Normal,0
Dog,1,669,Young Adult,129,October,1,Mix,Red,Healthy/Normal,0
Cat,1,65,Puppy/Kitten,3,September,0,Mix,Brown,Healthy/Normal,0
Cat,0,367,Young Adult,2,July,0,Mix,Black,Healthy/Normal,0
Dog,1,790,Young Adult,26,September,1,Pure,Black,Healthy/Normal,0
Dog,1,449,Young Adult,15,June,1,Pure,White,Healthy/Normal,0
Dog,1,1106,Adult,9,February,1,Mix,White,Healthy/Normal,0
Dog,1,2928,Senior,6,June,1,Pure,White,Healthy/Normal,0
Dog,1,1107,Adult,2,April,1,Mix,White,Healthy/Normal,0
Dog,1,340,Puppy/Kitten,6,July,1,Mix,White,Healthy/Normal,0
Dog,0,371,Young Adult,5,June,1,Mix,White,Healthy/Normal,0
Dog,1,367,Young Adult,2,February,1,Mix,Black,Healthy/Normal,0
Dog,1,616,Young Adult,66,July,1,Pure,White,Healthy/Normal,0
Dog,1,378,Young Adult,12,November,1,Pure,Black,Healthy/Normal,0
Cat,1,59,Puppy/Kitten,38,January,1,Mix,Black,Life Stage/Developmental,0
Dog,0,369,Young Adult,3,March,1,Pure,White,Healthy/Normal,0
Dog,1,741,Young Adult,11,April,1,Mix,Gold,Healthy/Normal,0
Dog,0,70,Puppy/Kitten,32,February,1,Pure,White,Life Stage/Developmental,0
Cat,1,380,Young Adult,15,December,1,Mix,Other,Healthy/Normal,0
Dog,1,3663,Senior,9,January,0,Pure,Black,Healthy/Normal,0
Cat,1,2926,Senior,3,October,0,Mix,Black,Injured,0
Cat,1,378,Young Adult,12,December,1,Mix,Grey,Healthy/Normal,0
Cat,1,46,Puppy/Kitten,14,May,0,Mix,Brown,Healthy/Normal,0
Dog,1,740,Young Adult,8,July,1,Pure,Black,Healthy/Normal,0
Dog,1,371,Young Adult,6,October,1,Mix,White,Healthy/Normal,0
Cat,1,829,Young Adult,98,November,1,Pure,Other,Injured,0
Dog,1,186,Puppy/Kitten,2,February,1,Pure,White,Healthy/Normal,0
Dog,1,738,Young Adult,6,May,1,Mix,Gold,Healthy/Normal,0
Dog,0,96,Puppy/Kitten,3,August,1,Mix,Black,Healthy/Normal,0
Dog,0,80,Puppy/Kitten,4,December,1,Pure,White,Healthy/Normal,0
Dog,0,60,Puppy/Kitten,4,October,1,Mix,Black,Healthy/Normal,0
Dog,1,56,Puppy/Kitten,4,July,1,Mix,Black,Healthy/Normal,0
Dog,1,1463,Adult,2,November,0,Mix,Gold,Healthy/Normal,0
Dog,0,735,Young Adult,5,July,1,Pure,White,Healthy/Normal,0
Cat,1,235,Puppy/Kitten,113,November,1,Mix,Brown,Healthy/Normal,0
Dog,1,1923,Adult,96,February,1,Pure,Black,Healthy/Normal,0
Dog,1,251,Puppy/Kitten,6,November,1,Mix,Black,Healthy/Normal,0
Cat,1,97,Puppy/Kitten,35,January,1,Mix,Black,Healthy/Normal,0
Cat,1,212,Puppy/Kitten,28,October,1,Pure,Brown,Healthy/Normal,0
Cat,1,195,Puppy/Kitten,10,February,1,Pure,Grey,Healthy/Normal,0
Dog,1,2192,Adult,1,May,0,Mix,Brown,Healthy/Normal,0
Dog,1,778,Young Adult,46,February,1,Mix,Other,Healthy/Normal,0
Cat,0,71,Puppy/Kitten,10,November,1,Pure,White,Healthy/Normal,0
Dog,0,734,Young Adult,3,October,1,Mix,White,Healthy/Normal,0
Dog,1,2290,Adult,1,October,1,Pure,White,Healthy/Normal,0
Cat,1,375,Young Adult,9,March,1,Mix,Black,Healthy/Normal,0
Dog,1,308,Puppy/Kitten,5,December,1,Mix,Black,Healthy/Normal,0
Dog,1,108,Puppy/Kitten,4,May,1,Mix,White,Healthy/Normal,0
Dog,1,83,Puppy/Kitten,52,June,1,Mix,Tricolor,Healthy/Normal,0
Other,1,473,Young Adult,107,June,1,Pure,White,Healthy/Normal,0
Cat,1,520,Puppy/Kitten,184,October,1,Mix,Black,Healthy/Normal,0
Cat,1,254,Puppy/Kitten,103,January,1,Pure,White,Injured,0
Dog,1,65,Puppy/Kitten,4,January,1,Mix,Black,Healthy/Normal,0
Dog,1,60,Puppy/Kitten,23,May,1,Mix,Black,Healthy/Normal,0
Cat,0,756,Young Adult,24,June,1,Mix,Black,Healthy/Normal,0
Dog,1,3734,Senior,82,October,1,Mix,Grey,Healthy/Normal,0
Dog,1,1101,Adult,5,February,1,Pure,White,Healthy/Normal,0
Dog,1,97,Puppy/Kitten,6,July,1,Mix,White,Healthy/Normal,0
Dog,1,123,Puppy/Kitten,4,October,0,Mix,White,Healthy/Normal,0
Cat,1,75,Puppy/Kitten,44,June,1,Pure,Black,Healthy/Normal,0
Dog,1,371,Young Adult,6,January,1,Mix,White,Healthy/Normal,0
Dog,0,171,Puppy/Kitten,11,July,1,Mix,Tricolor,Healthy/Normal,0
Dog,1,111,Puppy/Kitten,50,June,1,Mix,Black,Healthy/Normal,0
Dog,1,60,Puppy/Kitten,21,January,1,Mix,Black,Healthy/Normal,0
Dog,1,767,Young Adult,36,August,1,Pure,White,Healthy/Normal,0
Cat,1,1556,Adult,460,May,1,Pure,Black,Healthy/Normal,0
Dog,1,2317,Adult,137,December,1,Pure,White,Healthy/Normal,0
Dog,0,70,Puppy/Kitten,1,January,1,Pure,White,Healthy/Normal,0
Dog,1,2975,Senior,52,May,1,Mix,Gold,Healthy/Normal,0
Dog,1,1203,Adult,8,May,1,Mix,Black,Healthy/Normal,0
Dog,1,691,Young Adult,35,October,1,Mix,Black,Healthy/Normal,0
Cat,1,116,Puppy/Kitten,59,December,1,Mix,Other,Healthy/Normal,0
Dog,1,366,Puppy/Kitten,6,October,1,Pure,Black,Healthy/Normal,0
Dog,1,2814,Senior,95,December,1,Mix,Black,Healthy/Normal,0
Cat,1,63,Puppy/Kitten,32,May,1,Mix,Brown,Healthy/Normal,0
Cat,1,68,Puppy/Kitten,7,August,1,Mix,Other,Healthy/Normal,0
Cat,1,95,Puppy/Kitten,56,January,1,Pure,Brown,Healthy/Normal,0
Dog,1,2807,Senior,5,December,1,Mix,White,Healthy/Normal,0
Dog,1,2926,Senior,3,July,1,Mix,White,Healthy/Normal,0
Cat,1,90,Puppy/Kitten,6,June,1,Mix,Black,Healthy/Normal,0
Dog,1,1982,Adult,135,July,1,Mix,Brown,Healthy/Normal,0
Cat,0,747,Young Adult,15,January,0,Pure,Black,Injured,0
Dog,1,2194,Adult,2,September,1,Mix,White,Healthy/Normal,0
Dog,1,964,Young Adult,233,September,1,Pure,White,Healthy/Normal,0
Cat,1,763,Young Adult,33,November,1,Mix,Black,Healthy/Normal,0
Dog,0,157,Puppy/Kitten,6,June,1,Mix,Black,Healthy/Normal,0
Cat,0,59,Puppy/Kitten,4,January,1,Pure,Red,Healthy/Normal,0
Dog,1,1114,Adult,19,August,1,Pure,White,Healthy/Normal,0
Cat,1,83,Puppy/Kitten,7,July,0,Mix,White,Healthy/Normal,0
Cat,1,1204,Adult,108,March,1,Pure,Black,Healthy/Normal,0
Cat,1,37,Puppy/Kitten,5,November,0,Mix,Black,Healthy/Normal,0
Cat,1,90,Puppy/Kitten,23,July,1,Pure,Other,Healthy/Normal,0
Cat,1,79,Puppy/Kitten,47,July,1,Mix,White,Healthy/Normal,0
Dog,0,1102,Adult,6,November,1,Pure,White,Healthy/Normal,0
Dog,1,582,Young Adult,3,September,1,Pure,White,Healthy/Normal,0
Cat,0,74,Puppy/Kitten,15,December,1,Pure,White,Healthy/Normal,0
Dog,1,781,Young Adult,51,August,1,Mix,Black,Healthy/Normal,0
Dog,1,779,Young Adult,48,January,1,Pure,White,Healthy/Normal,0
Dog,1,159,Puppy/Kitten,8,June,1,Pure,Black,Healthy/Normal,0
Dog,1,1476,Adult,14,January,1,Pure,White,Injured,0
Cat,1,4390,Senior,7,February,1,Pure,Other,Healthy/Normal,0
Dog,1,64,Puppy/Kitten,4,April,1,Mix,Black,Healthy/Normal,0
Dog,1,669,Young Adult,303,February,1,Mix,White,Healthy/Normal,0
Cat,0,109,Puppy/Kitten,1,November,0,Mix,White,Sick/Medical,0
Dog,1,316,Puppy/Kitten,11,September,0,Pure,Black,Injured,0
Cat,1,63,Puppy/Kitten,18,November,0,Mix,Black,Healthy/Normal,0
Dog,1,735,Young Adult,4,January,1,Pure,White,Healthy/Normal,0
Dog,1,739,Young Adult,7,April,1,Mix,White,Healthy/Normal,0
Dog,1,4021,Senior,3,February,1,Pure,Black,Healthy/Normal,0
Dog,1,751,Young Adult,20,February,1,Mix,Black,Healthy/Normal,0
Cat,0,736,Young Adult,4,March,1,Mix,Red,Injured,0
Cat,1,368,Young Adult,2,May,0,Mix,Grey,Healthy/Normal,0
Dog,1,35,Puppy/Kitten,4,July,0,Pure,White,Life Stage/Developmental,0
Dog,1,1865,Adult,1,January,0,Mix,Gold,Healthy/Normal,0
Dog,1,1120,Adult,24,May,1,Pure,Black,Healthy/Normal,0
Dog,1,250,Puppy/Kitten,8,October,1,Mix,White,Healthy/Normal,0
Cat,1,140,Puppy/Kitten,33,August,1,Mix,White,Healthy/Normal,0
Dog,1,186,Puppy/Kitten,7,August,1,Mix,White,Healthy/Normal,0
Dog,0,3655,Senior,3,June,0,Mix,Brown,Injured,0
Dog,1,50,Puppy/Kitten,4,February,0,Mix,Black,Healthy/Normal,0
Dog,1,76,Puppy/Kitten,4,December,1,Mix,Black,Healthy/Normal,0
Dog,1,377,Young Adult,11,January,1,Mix,White,Healthy/Normal,0
Dog,1,204,Puppy/Kitten,22,August,1,Mix,White,Healthy/Normal,0
Dog,1,744,Young Adult,16,December,0,Pure,Black,Healthy/Normal,0
Dog,1,748,Young Adult,90,June,1,Pure,Black,Healthy/Normal,0
Dog,1,352,Puppy/Kitten,18,October,0,Mix,Black,Healthy/Normal,0
Dog,0,1832,Adult,6,January,1,Pure,White,Healthy/Normal,0
Cat,1,135,Puppy/Kitten,13,July,1,Pure,White,Healthy/Normal,0
Dog,1,81,Puppy/Kitten,48,March,1,Pure,White,Healthy/Normal,0
Dog,1,178,Puppy/Kitten,7,April,1,Mix,Red,Healthy/Normal,0
Cat,0,370,Young Adult,5,May,0,Mix,Other,Healthy/Normal,0
Dog,1,61,Puppy/Kitten,11,May,1,Mix,Red,Healthy/Normal,0
Cat,0,66,Puppy/Kitten,37,April,1,Pure,Brown,Healthy/Normal,0
Other,0,732,Young Adult,1,November,0,Pure,Brown,Healthy/Normal,0
Cat,1,63,Puppy/Kitten,26,June,1,Mix,Red,Healthy/Normal,0
Dog,1,808,Young Adult,43,May,1,Mix,White,Healthy/Normal,0
Dog,1,2562,Senior,6,January,1,Mix,Gold,Healthy/Normal,0
Dog,1,64,Puppy/Kitten,33,March,1,Mix,Black,Life Stage/Developmental,0
Dog,1,755,Young Adult,24,December,1,Mix,Grey,Healthy/Normal,0
Cat,1,67,Puppy/Kitten,36,November,1,Mix,Other,Healthy/Normal,0
Cat,1,65,Puppy/Kitten,33,September,0,Mix,Grey,Life Stage/Developmental,0
Dog,1,736,Young Adult,6,August,0,Mix,Brown,Healthy/Normal,0
Cat,1,95,Puppy/Kitten,53,August,1,Mix,Brown,Healthy/Normal,0
Cat,1,184,Puppy/Kitten,153,February,1,Pure,Grey,Healthy/Normal,0
Dog,1,101,Puppy/Kitten,8,February,0,Mix,Black,Healthy/Normal,0
Dog,1,456,Young Adult,9,June,1,Mix,White,Healthy/Normal,0
Dog,1,124,Puppy/Kitten,2,September,1,Pure,White,Healthy/Normal,0
Dog,1,203,Puppy/Kitten,20,January,1,Mix,Black,Healthy/Normal,0
Cat,0,112,Puppy/Kitten,29,August,1,Pure,White,Healthy/Normal,0
Dog,0,70,Puppy/Kitten,20,December,1,Mix,Gold,Injured,0
Cat,1,735,Young Adult,3,March,0,Pure,Red,Sick/Medical,0
Dog,0,96,Puppy/Kitten,3,January,0,Pure,White,Healthy/Normal,0
Cat,1,111,Puppy/Kitten,58,September,1,Mix,White,Healthy/Normal,0
Cat,0,35,Puppy/Kitten,5,May,0,Pure,Brown,Healthy/Normal,0
Dog,1,1468,Adult,6,October,1,Mix,Black,Healthy/Normal,0
Cat,1,395,Puppy/Kitten,120,July,1,Mix,Other,Injured,0
Dog,1,4024,Senior,6,October,1,Pure,Tricolor,Life Stage/Developmental,0
Dog,1,61,Puppy/Kitten,16,November,1,Pure,Black,Healthy/Normal,0
Cat,1,795,Young Adult,65,July,1,Pure,Brown,Injured,0
Cat,0,369,Young Adult,4,February,0,Pure,White,Injured,0
Cat,1,470,Young Adult,8,January,1,Mix,White,Healthy/Normal,0
Cat,1,24,Puppy/Kitten,2,May,0,Mix,Black,Healthy/Normal,0
Dog,1,597,Young Adult,17,November,1,Mix,Black,Healthy/Normal,0
Dog,0,735,Young Adult,3,February,0,Pure,Black,Healthy/Normal,0
Dog,1,588,Young Adult,25,November,0,Mix,Black,Injured,0
Dog,1,1181,Adult,85,March,1,Mix,White,Healthy/Normal,0
Cat,1,79,Puppy/Kitten,24,June,1,Pure,Black,Healthy/Normal,0
Dog,1,558,Young Adult,12,April,1,Mix,White,Healthy/Normal,0
Cat,0,247,Puppy/Kitten,5,May,1,Pure,Other,Healthy/Normal,0
Dog,1,330,Puppy/Kitten,5,June,1,Pure,Black,Healthy/Normal,0
Dog,1,2570,Senior,14,July,0,Mix,White,Healthy/Normal,0
Dog,1,2923,Senior,7,August,1,Pure,White,Healthy/Normal,0
Dog,1,367,Young Adult,2,June,1,Mix,Black,Healthy/Normal,0
Dog,1,726,Young Adult,360,December,1,Pure,White,Healthy/Normal,0
Bird,0,27,Puppy/Kitten,5,April,0,Pure,Gold,Healthy/Normal,0
Cat,0,77,Puppy/Kitten,46,November,1,Pure,Grey,Healthy/Normal,0
Dog,1,1099,Young Adult,4,July,1,Mix,Gold,Healthy/Normal,0
Cat,1,95,Puppy/Kitten,18,July,1,Mix,Red,Healthy/Normal,0
Dog,1,134,Puppy/Kitten,11,October,0,Pure,Black,Healthy/Normal,0
Cat,1,66,Puppy/Kitten,13,August,1,Mix,Other,Healthy/Normal,0
Cat,0,24,Puppy/Kitten,1,October,0,Mix,Grey,Healthy/Normal,0
Dog,1,735,Young Adult,4,December,1,Mix,Black,Healthy/Normal,0
Dog,1,814,Young Adult,83,December,1,Mix,Black,Healthy/Normal,0
Cat,0,28,Puppy/Kitten,1,April,0,Mix,Brown,Life Stage/Developmental,0
Dog,1,1838,Adult,12,April,1,Mix,Black,Healthy/Normal,0
Cat,1,63,Puppy/Kitten,12,August,1,Pure,Black,Healthy/Normal,0
Cat,1,737,Young Adult,6,November,0,Mix,Black,Sick/Medical,0
Dog,1,459,Young Adult,3,May,0,Mix,White,Healthy/Normal,0
Dog,1,647,Young Adult,18,June,1,Mix,White,Healthy/Normal,0
Dog,1,3664,Senior,10,December,1,Mix,Brown,Healthy/Normal,0
Cat,1,128,Puppy/Kitten,67,December,1,Mix,Black,Healthy/Normal,0
Dog,1,186,Puppy/Kitten,5,March,1,Mix,Black,Healthy/Normal,0
Dog,1,1496,Adult,34,September,1,Pure,White,Healthy/Normal,0
Cat,1,95,Puppy/Kitten,4,July,1,Mix,White,Healthy/Normal,0
Cat,0,26,Puppy/Kitten,3,April,0,Mix,Grey,Life Stage/Developmental,0
Cat,0,735,Young Adult,3,January,0,Pure,Grey,Healthy/Normal,0
Dog,1,2224,Adult,33,March,1,Pure,Black,Healthy/Normal,0
Cat,1,84,Puppy/Kitten,40,April,1,Mix,Brown,Healthy/Normal,0
Cat,1,93,Puppy/Kitten,85,June,1,Mix,Brown,Healthy/Normal,0
Bird,0,743,Young Adult,12,June,0,Pure,Black,Injured,0
Cat,0,140,Puppy/Kitten,97,September,1,Mix,Other,Healthy/Normal,0
Dog,1,71,Puppy/Kitten,25,April,1,Mix,Black,Healthy/Normal,0
Cat,1,74,Puppy/Kitten,53,October,1,Pure,Grey,Healthy/Normal,0
Cat,1,63,Puppy/Kitten,26,September,1,Mix,White,Healthy/Normal,0
Other,0,734,Young Adult,3,March,0,Pure,Brown,Healthy/Normal,0
Cat,1,788,Young Adult,2,October,1,Pure,Other,Healthy/Normal,0
Dog,1,2328,Adult,5,November,1,Mix,Black,Healthy/Normal,0
Cat,1,66,Puppy/Kitten,4,September,0,Pure,Other,Sick/Medical,0
Dog,1,737,Young Adult,7,January,0,Mix,White,Healthy/Normal,0
Dog,1,188,Puppy/Kitten,83,August,1,Mix,White,Healthy/Normal,0
Dog,1,1990,Adult,6,April,1,Mix,Black,Healthy/Normal,0
Cat,0,104,Puppy/Kitten,75,June,1,Mix,Brown,Healthy/Normal,0
Dog,0,20,Puppy/Kitten,9,December,0,Mix,White,Healthy/Normal,0
Cat,1,588,Young Adult,15,December,1,Mix,Black,Healthy/Normal,0
Dog,1,219,Puppy/Kitten,37,July,1,Mix,Black,Healthy/Normal,0
Dog,0,107,Puppy/Kitten,16,January,1,Mix,White,Injured,0
Dog,1,736,Young Adult,6,August,1,Mix,Black,Healthy/Normal,0
Cat,1,100,Puppy/Kitten,53,August,1,Mix,Other,Healthy/Normal,0
Cat,1,737,Young Adult,6,January,1,Mix,Brown,Healthy/Normal,0
Dog,0,96,Puppy/Kitten,4,August,1,Mix,Black,Healthy/Normal,0
Dog,1,190,Puppy/Kitten,6,January,1,Mix,Brown,Healthy/Normal,0
Dog,0,77,Puppy/Kitten,3,March,0,Mix,White,Healthy/Normal,0
Dog,1,156,Puppy/Kitten,5,July,0,Mix,White,Healthy/Normal,0
Dog,1,2012,Adult,41,April,1,Mix,White,Healthy/Normal,0
Cat,1,68,Puppy/Kitten,37,May,1,Pure,Brown,Life Stage/Developmental,0
Dog,1,6209,Senior,1,March,0,Mix,Black,Healthy/Normal,0
Dog,1,277,Puppy/Kitten,3,March,0,Mix,Brown,Healthy/Normal,0
Dog,1,1891,Adult,65,April,1,Mix,White,Healthy/Normal,0
Cat,0,370,Young Adult,5,July,0,Pure,Other,Healthy/Normal,0
Dog,1,125,Puppy/Kitten,4,June,0,Pure,Tricolor,Healthy/Normal,0
Cat,1,1103,Adult,7,June,1,Mix,Red,Healthy/Normal,0
Dog,1,1104,Adult,7,May,0,Mix,Black,Healthy/Normal,0
Cat,1,100,Puppy/Kitten,70,December,1,Mix,Other,Healthy/Normal,0
Cat,1,1505,Adult,44,December,1,Mix,White,Healthy/Normal,0
Cat,1,134,Puppy/Kitten,13,August,1,Pure,Black,Healthy/Normal,0
Cat,1,101,Puppy/Kitten,24,January,1,Pure,White,Healthy/Normal,0
Cat,1,66,Puppy/Kitten,44,May,0,Mix,Other,Sick/Medical,0
Cat,0,186,Puppy/Kitten,1,February,0,Pure,White,Healthy/Normal,0
Cat,1,84,Puppy/Kitten,54,December,1,Mix,Red,Healthy/Normal,0
Dog,1,260,Puppy/Kitten,15,November,1,Mix,White,Sick/Medical,0
Dog,1,69,Puppy/Kitten,67,March,0,Mix,Black,Life Stage/Developmental,0
Dog,0,736,Young Adult,6,August,0,Pure,Brown,Injured,0
Dog,1,100,Puppy/Kitten,7,September,1,Mix,Black,Healthy/Normal,0
Dog,1,1824,Adult,355,January,1,Pure,White,Healthy/Normal,0
Cat,1,103,Puppy/Kitten,66,December,1,Pure,White,Healthy/Normal,0
Cat,1,3203,Senior,5,February,1,Mix,White,Healthy/Normal,0
Dog,1,385,Young Adult,20,February,1,Mix,Gold,Healthy/Normal,0
Dog,1,762,Young Adult,32,May,1,Mix,White,Healthy/Normal,0
Dog,0,738,Young Adult,5,October,1,Mix,Black,Healthy/Normal,0
Dog,1,98,Puppy/Kitten,6,September,0,Pure,Grey,Healthy/Normal,0
Cat,1,59,Puppy/Kitten,31,April,1,Mix,Brown,Healthy/Normal,0
Dog,1,858,Young Adult,10,April,1,Mix,White,Healthy/Normal,0
Cat,1,2676,Adult,122,September,1,Mix,Grey,Injured,0
Cat,1,227,Puppy/Kitten,14,September,1,Mix,White,Healthy/Normal,0
