animal_type,has_name,age_days_outcome,age_group_intake,los_at_shelter,month_of_outcome,is_fixed,breed_type,color_group,intake_condition_group,agg_cluster,gmm_cluster,gmm_soft_cluster,density_score
Dog,1,123,Puppy/Kitten,4,October,0,Mix,White,Healthy/Normal,0,2,1.0,53.25047558982426
Cat,1,75,Puppy/Kitten,44,June,1,Pure,Black,Healthy/Normal,0,1,1.0,87.26928515281845
Dog,1,371,Young Adult,6,January,1,Mix,White,Healthy/Normal,0,1,1.0,87.36679342934043
Dog,0,171,Puppy/Kitten,11,July,1,Mix,Tricolor,Healthy/Normal,0,2,1.0,29.847366073494598
Dog,1,111,Puppy/Kitten,50,June,1,Mix,Black,Healthy/Normal,0,1,1.0,87.50592241805292
Dog,1,60,Puppy/Kitten,21,January,1,Mix,Black,Healthy/Normal,0,1,1.0,87.55320629769685
Dog,1,767,Young Adult,36,August,1,Pure,White,Healthy/Normal,0,1,1.0,87.58922361221408
Cat,1,1556,Adult,460,May,1,Pure,Black,Healthy/Normal,0,1,0.9999999999763673,61.95014389176945
Dog,1,2317,Adult,137,December,1,Pure,White,Healthy/Normal,0,1,0.9999999999999858,82.29275052026497
Dog,0,70,Puppy/Kitten,1,January,1,Pure,White,Healthy/Normal,0,2,1.0,50.73168677809542
Dog,1,2975,Senior,52,May,1,Mix,Gold,Healthy/Normal,0,0,1.0,47.39921128313006
Dog,1,1203,Adult,8,May,1,Mix,Black,Healthy/Normal,0,1,1.0,84.14393261270872
Dog,1,691,Young Adult,35,October,1,Mix,Black,Healthy/Normal,0,1,1.0,87.45497307348347
Cat,1,116,Puppy/Kitten,59,December,1,Mix,Other,Healthy/Normal,0,1,1.0,84.01707351753647
Dog,1,366,Puppy/Kitten,6,October,1,Pure,Black,Healthy/Normal,0,1,1.0,86.44442039694431
Dog,1,2814,Senior,95,December,1,Mix,Black,Healthy/Normal,0,0,1.0,53.85878326769027
Cat,1,63,Puppy/Kitten,32,May,1,Mix,Brown,Healthy/Normal,0,1,1.0,83.76368849385938
Cat,1,68,Puppy/Kitten,7,August,1,Mix,Other,Healthy/Normal,0,1,1.0,84.00740335698568
Cat,1,95,Puppy/Kitten,56,January,1,Pure,Brown,Healthy/Normal,0,1,1.0,84.64848897168481
Dog,1,2807,Senior,5,December,1,Mix,White,Healthy/Normal,0,0,1.0,54.43945275962033
Dog,1,2926,Senior,3,July,1,Mix,White,Healthy/Normal,0,0,1.0,53.446585934683576
Cat,1,90,Puppy/Kitten,6,June,1,Mix,Black,Healthy/Normal,0,1,1.0,87.42949867072642
Dog,1,1982,Adult,135,July,1,Mix,Brown,Healthy/Normal,0,1,1.0,81.6409560243266
Cat,0,747,Young Adult,15,January,0,Pure,Black,Injured,0,2,1.0,41.98120606224745
Dog,1,2194,Adult,2,September,1,Mix,White,Healthy/Normal,0,1,1.0,82.737191086101
Dog,1,964,Young Adult,233,September,1,Pure,White,Healthy/Normal,0,1,1.0,82.51876742836909
Cat,1,763,Young Adult,33,November,1,Mix,Black,Healthy/Normal,0,1,1.0,85.2885584625996
Dog,0,157,Puppy/Kitten,6,June,1,Mix,Black,Healthy/Normal,0,2,1.0,53.43223447984243
Cat,0,59,Puppy/Kitten,4,January,1,Pure,Red,Healthy/Normal,0,2,1.0,41.732147611456824
Dog,1,1114,Adult,19,August,1,Pure,White,Healthy/Normal,0,1,1.0,84.00716677611906
Cat,1,83,Puppy/Kitten,7,July,0,Mix,White,Healthy/Normal,0,2,1.0,53.41203988972282
Cat,1,1204,Adult,108,March,1,Pure,Black,Healthy/Normal,0,1,1.0,79.91030936461978
Cat,1,37,Puppy/Kitten,5,November,0,Mix,Black,Healthy/Normal,0,2,1.0,51.78555024202095
Cat,1,90,Puppy/Kitten,23,July,1,Pure,Other,Healthy/Normal,0,1,1.0,83.5397030897147
Cat,1,79,Puppy/Kitten,47,July,1,Mix,White,Healthy/Normal,0,1,1.0,88.20031627931361
Dog,0,1102,Adult,6,November,1,Pure,White,Healthy/Normal,0,0,1.0,50.3014539690178
Dog,1,582,Young Adult,3,September,1,Pure,White,Healthy/Normal,0,1,1.0,86.7704352968862
Cat,0,74,Puppy/Kitten,15,December,1,Pure,White,Healthy/Normal,0,2,1.0,51.544014559279596
Dog,1,781,Young Adult,51,August,1,Mix,Black,Healthy/Normal,0,1,1.0,87.97782055413019
Dog,1,779,Young Adult,48,January,1,Pure,White,Healthy/Normal,0,1,1.0,87.4068340372482
Dog,1,159,Puppy/Kitten,8,June,1,Pure,Black,Healthy/Normal,0,1,1.0,87.08767653602095
Dog,1,1476,Adult,14,January,1,Pure,White,Injured,0,1,0.9999999999999716,76.31406149472797
Cat,1,4390,Senior,7,February,1,Pure,Other,Healthy/Normal,0,0,1.0,46.00189563354421
Dog,1,64,Puppy/Kitten,4,April,1,Mix,Black,Healthy/Normal,0,1,1.0,85.66106222456044
Dog,1,669,Young Adult,303,February,1,Mix,White,Healthy/Normal,0,1,1.0,78.87695928064205
Cat,0,109,Puppy/Kitten,1,November,0,Mix,White,Sick/Medical,0,2,1.0,42.11644445464637
Dog,1,316,Puppy/Kitten,11,September,0,Pure,Black,Injured,0,2,1.0,43.33032151566512
Cat,1,63,Puppy/Kitten,18,November,0,Mix,Black,Healthy/Normal,0,2,1.0,52.002076793045696
Dog,1,735,Young Adult,4,January,1,Pure,White,Healthy/Normal,0,1,1.0,87.32524895745972
Dog,1,739,Young Adult,7,April,1,Mix,White,Healthy/Normal,0,1,1.0,86.44963698912812
Dog,1,4021,Senior,3,February,1,Pure,Black,Healthy/Normal,0,0,1.0,53.290006726715895
Dog,1,751,Young Adult,20,February,1,Mix,Black,Healthy/Normal,0,1,1.0,87.00250031412351
Cat,0,736,Young Adult,4,March,1,Mix,Red,Injured,0,2,1.0,30.59655775956199
Cat,1,368,Young Adult,2,May,0,Mix,Grey,Healthy/Normal,0,2,1.0,44.80661917206612
Dog,1,35,Puppy/Kitten,4,July,0,Pure,White,Life Stage/Developmental,0,2,1.0,40.43140534727145
Dog,1,1865,Adult,1,January,0,Mix,Gold,Healthy/Normal,0,0,1.0,47.01890994368018
Dog,1,1120,Adult,24,May,1,Pure,Black,Healthy/Normal,0,1,1.0,82.4677860961309
Dog,1,250,Puppy/Kitten,8,October,1,Mix,White,Healthy/Normal,0,1,1.0,87.16435221942517
Cat,1,140,Puppy/Kitten,33,August,1,Mix,White,Healthy/Normal,0,1,1.0,88.21986476536556
Dog,1,186,Puppy/Kitten,7,August,1,Mix,White,Healthy/Normal,0,1,1.0,88.17344159908343
Dog,0,3655,Senior,3,June,0,Mix,Brown,Injured,0,0,1.0,39.94119412307567
Dog,1,50,Puppy/Kitten,4,February,0,Mix,Black,Healthy/Normal,0,2,1.0,49.08814005646773
Dog,1,76,Puppy/Kitten,4,December,1,Mix,Black,Healthy/Normal,0,1,1.0,88.27699363284297
Dog,1,377,Young Adult,11,January,1,Mix,White,Healthy/Normal,0,1,1.0,87.39971473825425
Dog,1,204,Puppy/Kitten,22,August,1,Mix,White,Healthy/Normal,0,1,1.0,88.2205111260037
Dog,1,744,Young Adult,16,December,0,Pure,Black,Healthy/Normal,0,2,1.0,50.62210582837605
Dog,1,748,Young Adult,90,June,1,Pure,Black,Healthy/Normal,0,1,1.0,86.87390262812929
Dog,1,352,Puppy/Kitten,18,October,0,Mix,Black,Healthy/Normal,0,2,1.0,51.72040592495497
Dog,0,1832,Adult,6,January,1,Pure,White,Healthy/Normal,0,0,1.0,50.93635488646052
Cat,1,135,Puppy/Kitten,13,July,1,Pure,White,Healthy/Normal,0,1,1.0,87.7765628009967
Dog,1,81,Puppy/Kitten,48,March,1,Pure,White,Healthy/Normal,0,1,1.0,85.11541196521688
Dog,1,178,Puppy/Kitten,7,April,1,Mix,Red,Healthy/Normal,0,1,1.0,73.99504470181218
Cat,0,370,Young Adult,5,May,0,Mix,Other,Healthy/Normal,0,2,1.0,46.687704684579955
Dog,1,61,Puppy/Kitten,11,May,1,Mix,Red,Healthy/Normal,0,1,1.0,74.528339324227
Cat,0,66,Puppy/Kitten,37,April,1,Pure,Brown,Healthy/Normal,0,2,1.0,47.50284431575045
Other,0,732,Young Adult,1,November,0,Pure,Brown,Healthy/Normal,0,2,1.0,45.87794366015972
Cat,1,63,Puppy/Kitten,26,June,1,Mix,Red,Healthy/Normal,0,1,1.0,77.62809366378887
Dog,1,808,Young Adult,43,May,1,Mix,White,Healthy/Normal,0,1,1.0,86.94660933704155
Dog,1,2562,Senior,6,January,1,Mix,Gold,Healthy/Normal,0,0,1.0,48.410421908362856
Dog,1,64,Puppy/Kitten,33,March,1,Mix,Black,Life Stage/Developmental,0,1,0.9999999997541735,56.04127443741727
Dog,1,755,Young Adult,24,December,1,Mix,Grey,Healthy/Normal,0,1,1.0,78.44189835862267
Cat,1,67,Puppy/Kitten,36,November,1,Mix,Other,Healthy/Normal,0,1,1.0,82.93577763294256
Cat,1,65,Puppy/Kitten,33,September,0,Mix,Grey,Life Stage/Developmental,0,2,1.0,33.2341980970057
Dog,1,736,Young Adult,6,August,0,Mix,Brown,Healthy/Normal,0,2,1.0,48.839229304986546
Cat,1,95,Puppy/Kitten,53,August,1,Mix,Brown,Healthy/Normal,0,1,1.0,85.95446221505925
Cat,1,184,Puppy/Kitten,153,February,1,Pure,Grey,Healthy/Normal,0,1,1.0,76.1785779367447
Dog,1,101,Puppy/Kitten,8,February,0,Mix,Black,Healthy/Normal,0,2,1.0,49.27382219740025
Dog,1,456,Young Adult,9,June,1,Mix,White,Healthy/Normal,0,1,1.0,87.56699694262801
Dog,1,124,Puppy/Kitten,2,September,1,Pure,White,Healthy/Normal,0,1,1.0,86.59963694267033
Dog,1,203,Puppy/Kitten,20,January,1,Mix,Black,Healthy/Normal,0,1,1.0,87.66148342321281
Cat,0,112,Puppy/Kitten,29,August,1,Pure,White,Healthy/Normal,0,2,1.0,52.309280850622805
Dog,0,70,Puppy/Kitten,20,December,1,Mix,Gold,Injured,0,2,1.0,28.73900320392002
Cat,1,735,Young Adult,3,March,0,Pure,Red,Sick/Medical,0,2,1.0,28.53542696865435
Dog,0,96,Puppy/Kitten,3,January,0,Pure,White,Healthy/Normal,0,2,1.0,49.473324932884665
Cat,1,111,Puppy/Kitten,58,September,1,Mix,White,Healthy/Normal,0,1,1.0,87.17155639556832
Cat,0,35,Puppy/Kitten,5,May,0,Pure,Brown,Healthy/Normal,0,2,1.0,50.54431901877024
Dog,1,1468,Adult,6,October,1,Mix,Black,Healthy/Normal,0,1,1.0,86.00133947142088
Cat,1,395,Puppy/Kitten,120,July,1,Mix,Other,Injured,0,1,1.0,73.37139587705319
Dog,1,4024,Senior,6,October,1,Pure,Tricolor,Life Stage/Developmental,0,0,1.0,19.70119084343313
Dog,1,61,Puppy/Kitten,16,November,1,Pure,Black,Healthy/Normal,0,1,1.0,86.67937920824782
Cat,1,795,Young Adult,65,July,1,Pure,Brown,Injured,0,1,1.0,74.85695886818692
Cat,0,369,Young Adult,4,February,0,Pure,White,Injured,0,2,1.0,40.15445028343322
